사업장명,인허가일자,영업상태명,폐업일자,위생업태명,소재지도로명주소,소재지지번주소
쑥카페,2015-11-12,폐업,2016-03-03,커피숍,"서울특별시 관악구 난곡로34길 10, 1층 (신림동)",서울특별시 관악구 신림동 621-20 
카페리에또아띠,2011-05-12,폐업,2016-03-18,커피숍,서울특별시 관악구 신림로15길 31 (신림동),서울특별시 관악구 신림동 1538-7 
예리담,2015-10-27,폐업,2016-03-22,커피숍,"서울특별시 관악구 신림로17길 59, 1층 (신림동)",서울특별시 관악구 신림동 1542-14 
Bolt&Nut(볼트앤너트),2014-02-07,폐업,2016-03-23,커피숍,"서울특별시 관악구 대학길 21, 1층 (신림동)",서울특별시 관악구 신림동 241-7 
카페콩,2010-11-01,폐업,2016-03-31,커피숍,서울특별시 관악구 과천대로 939 (남현동),서울특별시 관악구 남현동 1061-18 
카페스위트빈,2014-07-02,폐업,2016-04-01,커피숍,"서울특별시 관악구 과천대로 941, 3층 (남현동)",서울특별시 관악구 남현동 1061-17 
커피드림,2014-01-14,폐업,2016-04-07,커피숍,"서울특별시 관악구 신림로26길 13, 1층 (신림동)",서울특별시 관악구 신림동 110-30 
홍's coffee(홍스커피),2013-12-11,폐업,2016-04-08,커피숍,"서울특별시 관악구 봉천로 219-3, 1층 (봉천동)",서울특별시 관악구 봉천동 972-31 
커피나무K,2014-02-28,폐업,2016-04-08,커피숍,"서울특별시 관악구 봉천로 391, 1상가동 113호 (봉천동, 두산아파트)",서울특별시 관악구 봉천동 1708 
카페치노,2015-10-14,폐업,2016-04-08,커피숍,"서울특별시 관악구 남부순환로 1467, 1층 (신림동)",서울특별시 관악구 신림동 538-6 
chu♡,2013-04-30,폐업,2016-04-19,커피숍,"서울특별시 관악구 신림로11길 12, 1층 (신림동)",서울특별시 관악구 신림동 241-99 
리치보드게임 카페,2010-03-09,폐업,2016-04-21,커피숍,"서울특별시 관악구 관천로 43 (신림동,지하1층)",서울특별시 관악구 신림동 1587-10 지하1층 
Cafe Ming(카페밍),2014-03-28,폐업,2016-04-22,커피숍,"서울특별시 관악구 신림동7길 16, 1층 (신림동)",서울특별시 관악구 신림동 1460-2 
카페이야기(cafe eyagi),2009-03-26,폐업,2016-04-25,커피숍,"서울특별시 관악구 관악로 1, 1층 (신림동, 법학도서관)",서울특별시 관악구 신림동 산 56-1 
케이크뮤지엄 롯데관악점,2015-08-04,폐업,2016-04-28,커피숍,"서울특별시 관악구 봉천로 209, 7층 (봉천동)",서울특별시 관악구 봉천동 729-22 
소풍,2013-05-23,폐업,2016-04-29,커피숍,"서울특별시 관악구 남부순환로172길 7, 1층 (신림동)",서울특별시 관악구 신림동 1585-1 
설빙 신림3호점,2014-09-03,폐업,2016-04-29,커피숍,"서울특별시 관악구 대학길 13, 밀라트 가동 2층 (신림동)",서울특별시 관악구 신림동 240-1 
다시스 6호점,2015-07-30,폐업,2016-05-19,커피숍,"서울특별시 관악구 쑥고개로11길 3, 1층 (봉천동)",서울특별시 관악구 봉천동 1528-29 
다시스 58호점,2016-02-12,폐업,2016-05-31,커피숍,"서울특별시 관악구 장군봉2길 1, 1층 (봉천동, 우측 두번째 점포)",서울특별시 관악구 봉천동 1521-34 
coffee 122-6(커피 이야기),2014-06-05,폐업,2016-06-08,커피숍,"서울특별시 관악구 신림로14길 23, 1층 (신림동)",서울특별시 관악구 신림동 122-6 
Cafe noriter(신림점),2012-07-18,폐업,2016-06-14,커피숍,"서울특별시 관악구 남부순환로 1594 (신림동, 지상2층)",서울특별시 관악구 신림동 1639-17 
cafe Hero(카페히어로),2014-09-23,폐업,2016-06-16,커피숍,"서울특별시 관악구 남현3길 69, 1층 108호 (남현동)",서울특별시 관악구 남현동 1062-20 
돌고래 날다,2013-05-14,폐업,2016-07-01,커피숍,"서울특별시 관악구 신림동길 31-1, 1층 (신림동)",서울특별시 관악구 신림동 1459-20 
투썸플레이스(봉천역),2012-04-09,폐업,2016-07-04,커피숍,"서울특별시 관악구 남부순환로 1733, 지상1층 (봉천동)",서울특별시 관악구 봉천동 926-33 지상1층 
다시스,2016-05-24,폐업,2016-07-22,커피숍,"서울특별시 관악구 쑥고개로11길 3, 1층 (봉천동)",서울특별시 관악구 봉천동 1528-29 
에떼616,2015-07-09,폐업,2016-07-25,커피숍,"서울특별시 관악구 은천로24길 9, 1층 (봉천동)",서울특별시 관악구 봉천동 466-85 
파리바게트카페 서울대학교점,2015-01-21,폐업,2016-07-26,커피숍,"서울특별시 관악구 관악로 1, 2,3층 (신림동, 서울대학교 관정도서관)",서울특별시 관악구 신림동 산 56-1 서울대학교 관정도서관 
스무디킹 서울대입구역점,2011-05-12,폐업,2016-07-28,커피숍,서울특별시 관악구 관악로 161 (봉천동),서울특별시 관악구 봉천동 863-13 
cafe(커피앤콜링),2015-04-23,폐업,2016-08-10,커피숍,"서울특별시 관악구 관천로12길 27, 1층 (신림동)",서울특별시 관악구 신림동 1460-3 
카페조이어스 2호점,2016-02-25,폐업,2016-08-17,커피숍,"서울특별시 관악구 행운1길 125, 1층 (봉천동)",서울특별시 관악구 봉천동 27-2 
다시스 1호점,2015-03-25,폐업,2016-08-19,커피숍,"서울특별시 관악구 구암길 33, 1층 (봉천동)",서울특별시 관악구 봉천동 482-7 
커피담,2015-01-27,폐업,2016-08-29,커피숍,"서울특별시 관악구 남부순환로226길 24, 1층 (봉천동)",서울특별시 관악구 봉천동 1599-6 
안젤로,2009-09-16,폐업,2016-09-07,커피숍,"서울특별시 관악구 쑥고개로 111, 1층 (봉천동)",서울특별시 관악구 봉천동 1567-1 
