사업장명,인허가일자,영업상태명,폐업일자,위생업태명,소재지도로명주소,소재지지번주소
엔제리너스커피 서울대입구점,2014-01-20,폐업,2019-01-02,커피숍,"서울특별시 관악구 관악로 158, 1층 (봉천동)",서울특별시 관악구 봉천동 856-6 
프로시트쿠헨(Prosit Kuchen),2017-09-07,폐업,2019-01-02,커피숍,"서울특별시 관악구 관천로11길 59, 1층 (신림동)",서울특별시 관악구 신림동 465-35 
더 마실 카페,2013-02-26,폐업,2019-01-14,커피숍,"서울특별시 관악구 양녕로6길 23, 1층 (봉천동)",서울특별시 관악구 봉천동 887-3 
카페웨이유,2018-06-05,폐업,2019-01-17,커피숍,"서울특별시 관악구 남부순환로247가길 22, 한흥학원 지하1층 (봉천동)",서울특별시 관악구 봉천동 1688-106 한흥학원 
씨타델커피(citadel coffee),2014-12-01,폐업,2019-01-21,커피숍,"서울특별시 관악구 남부순환로 1773, 103호 (봉천동, 마에스트로캠퍼스타운)",서울특별시 관악구 봉천동 893-12 
카페니드,2017-11-07,폐업,2019-01-21,커피숍,"서울특별시 관악구 청림2길 15-12, 지하1층 (봉천동)",서울특별시 관악구 봉천동 14-100 
연유로움,2014-04-28,폐업,2019-02-08,커피숍,"서울특별시 관악구 대학길 42, 1층 (신림동)",서울특별시 관악구 신림동 1538-16 
위플래이스,2016-06-14,폐업,2019-02-15,커피숍,"서울특별시 관악구 호암로24길 22, 지하1층 (신림동)",서울특별시 관악구 신림동 1533-18 
팰리스카페,2018-11-12,폐업,2019-03-06,커피숍,서울특별시 관악구 봉천로53길 11 (봉천동),서울특별시 관악구 봉천동 851-10 
카페베네,2011-05-30,폐업,2019-03-08,커피숍,서울특별시 관악구 은천로 99 (봉천동),서울특별시 관악구 봉천동 501-4 
종점까페,2014-08-27,폐업,2019-03-08,커피숍,"서울특별시 관악구 문성로38길 70, 지하1층 (신림동)",서울특별시 관악구 신림동 412-127 
로뎀나무아래,2014-04-09,폐업,2019-03-14,커피숍,"서울특별시 관악구 난우길 8, 2층 202호 (신림동)",서울특별시 관악구 신림동 613-10 2층 202호
달팽이커피집,2009-03-30,폐업,2019-03-19,커피숍,"서울특별시 관악구 관악로 236, 지상2층 (봉천동)",서울특별시 관악구 봉천동 36-21 지상2층 
가비카페,2012-09-24,폐업,2019-03-19,커피숍,"서울특별시 관악구 난곡로 211 (신림동, 지상1~2층)",서울특별시 관악구 신림동 725-58 
우리동네까페,2014-10-24,폐업,2019-03-26,커피숍,"서울특별시 관악구 난우10길 7, 1층 (신림동)",서울특별시 관악구 신림동 596-13 
오!베리굿,2015-05-07,폐업,2019-03-27,커피숍,"서울특별시 관악구 관천로22길 54, 1층 (신림동)",서울특별시 관악구 신림동 1451-1 
카페 반디앤루니스,2015-05-29,폐업,2019-03-27,커피숍,"서울특별시 관악구 신림로 330, 7층 (신림동, 포도몰)",서울특별시 관악구 신림동 1641-2 
프리(Free),2017-07-11,폐업,2019-03-27,커피숍,"서울특별시 관악구 남부순환로172길 109, 5층 (신림동)",서울특별시 관악구 신림동 1574-1 
데니스커피 신림역점,2011-10-05,폐업,2019-04-03,커피숍,"서울특별시 관악구 남부순환로 1637, 지상1층 (신림동)",서울특별시 관악구 신림동 1412-4 
한스멍,2016-01-12,폐업,2019-04-10,커피숍,"서울특별시 관악구 난우2길 9, 2층 (신림동)",서울특별시 관악구 신림동 613-13 
피그말리온,2001-03-28,폐업,2019-04-12,커피숍,서울특별시 관악구 호암로22길 41 (신림동),서울특별시 관악구 신림동 1534-16 
피그말리온,2017-08-28,폐업,2019-04-12,커피숍,"서울특별시 관악구 신림로12길 23, 1층 (신림동)",서울특별시 관악구 신림동 123-2 
카페딜,2018-11-22,폐업,2019-04-22,커피숍,"서울특별시 관악구 대학5길 21, 2층 (신림동)",서울특별시 관악구 신림동 241-76 
투퍼피(TOPUUPY),2017-04-11,폐업,2019-04-23,커피숍,"서울특별시 관악구 신림로 387, 3층 도로기준 우측호 (신림동)",서울특별시 관악구 신림동 1429-16 우측호
Bro.COFFEE＆JUICE(브로커피앤쥬스),2015-11-25,폐업,2019-05-01,커피숍,"서울특별시 관악구 남부순환로 1820, 10층 10012호 (봉천동)",서울특별시 관악구 봉천동 862-1 
원츄(onechew),2016-08-25,폐업,2019-05-02,커피숍,"서울특별시 관악구 신림로23길 16, 1층 1006,1007호 (신림동, 일성투루엘)",서울특별시 관악구 신림동 1523-1 
리틀블라썸,2016-03-04,폐업,2019-05-03,커피숍,"서울특별시 관악구 관악로12길 58-2, 1층 (봉천동)",서울특별시 관악구 봉천동 1614-2 
우쥬커피,2016-10-14,폐업,2019-05-07,커피숍,"서울특별시 관악구 관악로12길 5, 1층 (봉천동)",서울특별시 관악구 봉천동 1598-23 
분나(BN),2018-03-29,폐업,2019-05-14,커피숍,"서울특별시 관악구 관악로 1, 서울대학교 화학공정신기술연구소 311동 4층 404-2호 (신림동)",서울특별시 관악구 신림동 산 56-1 서울대학교 
카페자람,2017-08-03,폐업,2019-05-24,커피숍,"서울특별시 관악구 난곡로43길 8, 1층 (신림동)",서울특별시 관악구 신림동 759-13 
콩커피하우스,2014-11-21,폐업,2019-05-31,커피숍,"서울특별시 관악구 남부순환로 1837, 지하1층-2층 (봉천동, 샤론빌딩)",서울특별시 관악구 봉천동 1666-32 
시트론오피스,2018-02-05,폐업,2019-06-11,커피숍,"서울특별시 관악구 남부순환로234길 18, 2층 (봉천동)",서울특별시 관악구 봉천동 1612-51 
마주보기,2008-06-18,폐업,2019-06-17,커피숍,"서울특별시 관악구 남부순환로247길 3, 1층 (봉천동)",서울특별시 관악구 봉천동 1688-114 
카페더스노우 신림점,2014-03-31,폐업,2019-06-27,커피숍,"서울특별시 관악구 남부순환로 1594-1, 2층 (신림동)",서울특별시 관악구 신림동 1639-19 
쥬시빈,2016-07-27,폐업,2019-07-03,커피숍,"서울특별시 관악구 남부순환로 1729, 1층 (봉천동)",서울특별시 관악구 봉천동 926-36 
할미마켓(Halmi),2018-09-10,폐업,2019-07-05,커피숍,"서울특별시 관악구 남부순환로161길 23, 1층 (신림동)",서울특별시 관악구 신림동 486-6 
Coffee is... 커피이즈,2011-09-20,폐업,2019-07-31,커피숍,서울특별시 관악구 은천로 172-1 (봉천동),서울특별시 관악구 봉천동 41-739 
드롭탑 신림역점,2014-04-30,폐업,2019-08-01,커피숍,"서울특별시 관악구 신림로 340, 1층 53~88호 (신림동, 르네상스 쇼핑몰)",서울특별시 관악구 신림동 1422-5 
고조미 신림점,2016-05-11,폐업,2019-08-14,커피숍,"서울특별시 관악구 신림로 317, 1층 3호 (신림동)",서울특별시 관악구 신림동 1638-17 
브로커피앤쥬스,2019-05-03,폐업,2019-08-26,커피숍,"서울특별시 관악구 남부순환로 1820, 에그엘로우 10층 100012호 (봉천동)",서울특별시 관악구 봉천동 862-1 에그엘로우 
CAFE JUICY(카페주시),2015-04-30,폐업,2019-09-20,커피숍,"서울특별시 관악구 관악로14길 84, 1층 (봉천동)",서울특별시 관악구 봉천동 1621-8 
라이바VR카페,2017-08-24,폐업,2019-09-20,커피숍,"서울특별시 관악구 신림로59길 17, 3층 (신림동)",서울특별시 관악구 신림동 1638-3 
커피베이(녹두거리점),2015-10-21,폐업,2019-09-23,커피숍,"서울특별시 관악구 대학길 16, 1층 (신림동)",서울특별시 관악구 신림동 1517-20 
모음,2014-03-14,폐업,2019-09-27,커피숍,"서울특별시 관악구 봉천로6길 11, 1층 (신림동)",서울특별시 관악구 신림동 1442-17 
소극장,2018-03-09,폐업,2019-09-27,커피숍,"서울특별시 관악구 남부순환로231길 11, 태주빌라 1층 103호 (봉천동)",서울특별시 관악구 봉천동 1670-5 태주빌라 
커피박스관악체육센터점,2018-10-22,폐업,2019-09-30,커피숍,"서울특별시 관악구 낙성대로3길 37, 관악구민종합체육센터 1층 (봉천동)",서울특별시 관악구 봉천동 225 관악구민종합체육센터 
프린세스카페(PRINCESS CAFE),2011-02-08,폐업,2019-10-01,커피숍,서울특별시 관악구 호암로26길 58 (신림동),서울특별시 관악구 신림동 1518 
알카페(R cafe),2013-06-05,폐업,2019-10-04,커피숍,"서울특별시 관악구 호암로22길 58, 1층 (신림동)",서울특별시 관악구 신림동 257-13 
달달모먼트,2018-07-16,폐업,2019-10-07,커피숍,"서울특별시 관악구 관악로14길 96, 1층 (봉천동)",서울특별시 관악구 봉천동 1626-4 
하쿠나마타타,2015-10-16,폐업,2019-10-10,커피숍,"서울특별시 관악구 신림동5길 47, 1층 101호 (신림동)",서울특별시 관악구 신림동 1432-129 
구동의아침,2018-08-27,폐업,2019-10-11,커피숍,"서울특별시 관악구 호암로26가길 12, 이오빌딩 1층 (신림동)",서울특별시 관악구 신림동 1525-6 이오빌딩 
커피붕붕 커피볶는집,2012-12-27,폐업,2019-10-14,커피숍,"서울특별시 관악구 신림로68길 32, 1층 (신림동)",서울특별시 관악구 신림동 1419-9 
라떼킹 낙성대점,2014-06-02,폐업,2019-10-21,커피숍,"서울특별시 관악구 남부순환로 1925, 1층 (봉천동)",서울특별시 관악구 봉천동 1686-21 
커피지피,2011-11-17,폐업,2019-10-28,커피숍,"서울특별시 관악구 남부순환로 1881, 1층 (봉천동)",서울특별시 관악구 봉천동 1674-20 1층 
슈가앤라떼,2018-09-20,폐업,2019-10-31,커피숍,"서울특별시 관악구 쑥고개로 83, 2층 좌측호 (봉천동)",서울특별시 관악구 봉천동 1564-14 
바나나유,2017-08-22,폐업,2019-11-04,커피숍,"서울특별시 관악구 신림로23길 22, 1층 (신림동)",서울특별시 관악구 신림동 1524-4 
커피몬,2015-05-19,폐업,2019-11-06,커피숍,"서울특별시 관악구 청룡3길 1, 1층 (봉천동)",서울특별시 관악구 봉천동 895-15 
그린트리,2010-07-23,폐업,2019-11-07,커피숍,"서울특별시 관악구 인헌1길 29, 지하1층 (봉천동)",서울특별시 관악구 봉천동 1655-40 
브릭메이트,2019-03-04,폐업,2019-11-08,커피숍,"서울특별시 관악구 봉천로 209, 롯데백화점 5층 (봉천동)",서울특별시 관악구 봉천동 729-22 롯데백화점 
킹스빈커피,2014-04-11,폐업,2019-11-19,커피숍,"서울특별시 관악구 난곡로 264, 1층 (신림동)",서울특별시 관악구 신림동 1680-24 
옐로우버터드림(Yellow butter dream),2019-04-26,폐업,2019-11-25,커피숍,"서울특별시 관악구 관악로14나길 10, 2층 (봉천동)",서울특별시 관악구 봉천동 1621-17 
곰브라더스 서울대입구점,2016-07-21,폐업,2019-12-16,커피숍,"서울특별시 관악구 남부순환로 1827, 1층 (봉천동)",서울특별시 관악구 봉천동 858-7 
#Coffee(샵커피),2018-08-10,폐업,2019-12-16,커피숍,"서울특별시 관악구 봉천로 219-3, 1층 (봉천동)",서울특별시 관악구 봉천동 972-31 
텀브커피 신림점,2016-05-24,폐업,2020-01-10,커피숍,"서울특별시 관악구 신림로64길 11, 1층 102호 (신림동)",서울특별시 관악구 신림동 1421-55 
턴더페이지,2019-06-27,폐업,2020-01-10,커피숍,"서울특별시 관악구 관악로 152, 지하1층 (봉천동)",서울특별시 관악구 봉천동 1598-18 
카페알파,2015-01-08,폐업,2020-01-15,커피숍,"서울특별시 관악구 조원중앙로2길 78, 1층 (신림동)",서울특별시 관악구 신림동 564-48 
까페네로우사이드,2019-05-09,폐업,2020-01-20,커피숍,"서울특별시 관악구 봉천로 307, 1층 (봉천동)",서울특별시 관악구 봉천동 967-3 
쥬스팩토리 봉천역점,2016-08-19,폐업,2020-02-03,커피숍,"서울특별시 관악구 남부순환로 1740, 1층 (봉천동)",서울특별시 관악구 봉천동 927-1 
헤이소트,2018-05-03,폐업,2020-02-04,커피숍,"서울특별시 관악구 보라매로3길 14, 지하1층 (봉천동)",서울특별시 관악구 봉천동 732-15 
카페뉴욕 3호점,2015-11-02,폐업,2020-02-05,커피숍,"서울특별시 관악구 호암로22길 55, 1층 (신림동)",서울특별시 관악구 신림동 1536-14 
카페진카,2019-03-07,폐업,2020-02-17,커피숍,"서울특별시 관악구 인헌길 50, 1층 (봉천동)",서울특별시 관악구 봉천동 1639-14 
카페블럭,2018-09-03,폐업,2020-02-21,커피숍,"서울특별시 관악구 신림동7길 8, 1층 (신림동)",서울특별시 관악구 신림동 1459-4 
커피나무학교,2016-01-18,폐업,2020-03-09,커피숍,"서울특별시 관악구 남부순환로234길 73, 지하1층 (봉천동)",서울특별시 관악구 봉천동 산 56-3 
커피베이(관악봉천점),2014-10-23,폐업,2020-03-31,커피숍,"서울특별시 관악구 봉천로 393, 1층 (봉천동)",서울특별시 관악구 봉천동 924-35 
카페아일랜드,2012-12-21,폐업,2020-04-01,커피숍,"서울특별시 관악구 관악로 242, 1층 (봉천동)",서울특별시 관악구 봉천동 36-83 
카페미로(cafe miro),2018-11-26,폐업,2020-04-01,커피숍,"서울특별시 관악구 청룡1길 2, 관악중앙새마을금고 1층 (봉천동)",서울특별시 관악구 봉천동 895-18 관악중앙새마을금고 
커피베이(관악문성로점),2015-06-30,폐업,2020-04-14,커피숍,"서울특별시 관악구 문성로 222, 1층 (신림동)",서울특별시 관악구 신림동 1630-2 
cafe하빈,2016-02-29,폐업,2020-04-14,커피숍,"서울특별시 관악구 법원단지5길 5, 2층 (신림동)",서울특별시 관악구 신림동 608-18 
만물다방,2018-12-27,폐업,2020-04-22,커피숍,"서울특별시 관악구 봉천로13길 6, 1층 (봉천동)",서울특별시 관악구 봉천동 969-44 
The wow cafe,2013-03-07,폐업,2020-04-24,커피숍,"서울특별시 관악구 과천대로 939, 2층 (남현동)",서울특별시 관악구 남현동 1061-18 
GACHI(가치),2018-06-26,폐업,2020-04-28,커피숍,"서울특별시 관악구 호암로24길 65, 1층 (신림동)",서울특별시 관악구 신림동 1518-18 
엔제리너스 서울대 라붐TO,2013-06-10,폐업,2020-05-04,커피숍,"서울특별시 관악구 남부순환로 1820, 8층 (봉천동, 라붐아울렛)",서울특별시 관악구 봉천동 862-1 
쥬씨 사당역2호점,2016-09-01,폐업,2020-05-04,커피숍,"서울특별시 관악구 과천대로 953, 1층 (남현동)",서울특별시 관악구 남현동 1061-59 
닥터커핀,2019-01-25,폐업,2020-05-13,커피숍,"서울특별시 관악구 남부순환로 1451, 1,2층 (신림동)",서울특별시 관악구 신림동 543-7 
탭플레이 신대방점,2019-11-08,폐업,2020-05-18,커피숍,"서울특별시 관악구 난곡로 327, 1층 (신림동)",서울특별시 관악구 신림동 530-28 
퍼스널커피,2019-09-16,폐업,2020-05-18,커피숍,"서울특별시 관악구 신림로17길 62, 1층 (신림동)",서울특별시 관악구 신림동 257-22 
피스톤,2017-02-27,폐업,2020-05-19,커피숍,"서울특별시 관악구 신림로58길 14, 1층 (신림동)",서울특별시 관악구 신림동 86-35 
별 1호점 용기,2016-09-23,폐업,2020-05-20,커피숍,"서울특별시 관악구 쑥고개로11길 3, 1층 (봉천동)",서울특별시 관악구 봉천동 1528-29 
JD las,2020-01-23,폐업,2020-05-21,커피숍,"서울특별시 관악구 봉천로 465, 4층 (봉천동)",서울특별시 관악구 봉천동 871-65 
CAFE레몬(카페레몬),2020-05-18,폐업,2020-05-27,커피숍,"서울특별시 관악구 신원로3나길 2, 1층 (신림동)",서울특별시 관악구 신림동 1594-2 
카페달쓰,2019-10-10,폐업,2020-06-03,커피숍,"서울특별시 관악구 행운길 7, 1층 (봉천동)",서울특별시 관악구 봉천동 1674-16 
별까페,2007-06-21,폐업,2020-06-08,커피숍,"서울특별시 관악구 호암로26길 36, 1층 (신림동)",서울특별시 관악구 신림동 1520 
사계,2016-10-17,폐업,2020-06-09,커피숍,"서울특별시 관악구 난곡로 364-1, 1층 (신림동)",서울특별시 관악구 신림동 517-57 
젤라리소 신대방점,2018-08-09,폐업,2020-06-15,커피숍,"서울특별시 관악구 조원로 117, 1층 (신림동)",서울특별시 관악구 신림동 503-37 
마노핀익스프레스 신림역점,2011-10-11,폐업,2020-06-16,커피숍,"서울특별시 관악구 남부순환로 지하 1614, 지하1층 (신림동, 신림역사)",서울특별시 관악구 신림동 1467-10 
마노핀익스프레스 서울대입구역점,2011-10-11,폐업,2020-06-16,커피숍,"서울특별시 관악구 남부순환로 지하 1822 (봉천동,지하철2호선 서울대입구역 구내)",서울특별시 관악구 봉천동 979-1 지하철2호선 서울대입구역 구내 
마피아 샌드위치(MAFIA SANDWICH),2017-05-15,폐업,2020-06-16,커피숍,"서울특별시 관악구 관악로 266, 1층 (봉천동)",서울특별시 관악구 봉천동 37-5 
운석커피,2020-03-25,폐업,2020-06-23,커피숍,"서울특별시 관악구 양녕로 32-1, 1층 (봉천동)",서울특별시 관악구 봉천동 888-25 
카페앨리스(Cafe Elly's),2011-06-09,폐업,2020-07-03,커피숍,"서울특별시 관악구 난곡로66길 14, 1층 (신림동)",서울특별시 관악구 신림동 527-11 
삼거리다방,2019-04-01,폐업,2020-07-15,커피숍,"서울특별시 관악구 봉천로 373-10, 1층 (봉천동)",서울특별시 관악구 봉천동 932-19 
쥬씨 인헌시장점,2018-07-19,폐업,2020-07-24,커피숍,"서울특별시 관악구 인헌6길 16, 1층 108호 (봉천동)",서울특별시 관악구 봉천동 1638-22 
쌤스카페(Sam's cafe),2019-08-01,폐업,2020-07-28,커피숍,"서울특별시 관악구 남부순환로 2022, 정윤빌딩 지하1층 (남현동)",서울특별시 관악구 남현동 1054-46 정윤빌딩 
COFFEE THE.R(커피 더 알),2012-04-26,폐업,2020-08-04,커피숍,"서울특별시 관악구 호암로24길 6, 지층 2호 (신림동)",서울특별시 관악구 신림동 1531-1 지층 2호
카페마지카,2018-03-02,폐업,2020-08-06,커피숍,"서울특별시 관악구 신림로 385, 3층 (신림동)",서울특별시 관악구 신림동 1430-3 
블랙홀커피로스터즈,2018-08-31,폐업,2020-08-11,커피숍,"서울특별시 관악구 행운1길 30, 1층 (봉천동)",서울특별시 관악구 봉천동 1672-19 
카페데코믹스 신림점,2015-10-23,폐업,2020-08-20,커피숍,"서울특별시 관악구 신림로59길 7, 3층 (신림동)",서울특별시 관악구 신림동 1638-24 
미스터브리즈커피 낙성대점,2009-04-21,폐업,2020-08-21,커피숍,"서울특별시 관악구 인헌길 47, 1층 (봉천동)",서울특별시 관악구 봉천동 1642-31 
토브함께가는까페,2019-06-27,폐업,2020-08-25,커피숍,"서울특별시 관악구 난곡로34길 21, 1층 (신림동)",서울특별시 관악구 신림동 1678-14 
카페공감,2017-04-10,폐업,2020-08-28,커피숍,"서울특별시 관악구 남부순환로 1435, 지하1층 (신림동)",서울특별시 관악구 신림동 544 
mancave(맨케이브),2016-06-29,폐업,2020-08-31,커피숍,"서울특별시 관악구 남부순환로145길 14, 지하1층 (신림동)",서울특별시 관악구 신림동 539-18 
모닝모닝(morning morning),2015-09-08,폐업,2020-09-01,커피숍,"서울특별시 관악구 신림로 212, 1층 (신림동)",서울특별시 관악구 신림동 94-262 
한규상사유정주유소,2017-04-13,폐업,2020-09-01,커피숍,서울특별시 관악구 남부순환로 1691 (봉천동),서울특별시 관악구 봉천동 948-17 
허니몽카페,2019-11-19,폐업,2020-09-02,커피숍,"서울특별시 관악구 남부순환로 1694, 지하1층 (봉천동)",서울특별시 관악구 봉천동 947-8 종남빌딩 
또이떵이,2018-09-12,폐업,2020-09-14,커피숍,"서울특별시 관악구 봉천로 491, 1층 102호 (봉천동)",서울특별시 관악구 봉천동 1667-19 
삼보서점문구,2019-05-03,폐업,2020-09-15,커피숍,"서울특별시 관악구 인헌9길 31, 1층 (봉천동)",서울특별시 관악구 봉천동 1645-57 
하루쥬스,2020-07-16,폐업,2020-09-17,커피숍,"서울특별시 관악구 시흥대로 562, 1층 (신림동)",서울특별시 관악구 신림동 1655-13 
플라워유,2019-05-07,폐업,2020-09-18,커피숍,"서울특별시 관악구 난우10길 19-1, 1층 (신림동)",서울특별시 관악구 신림동 597-23 
카페여기 2호점,2020-07-21,폐업,2020-09-25,커피숍,"서울특별시 관악구 호암로22길 60, 태양빌딩 1층 (신림동)",서울특별시 관악구 신림동 1544 태양빌딩 
카페달쓰,2020-06-03,폐업,2020-09-29,커피숍,"서울특별시 관악구 행운길 7, 1층 (봉천동)",서울특별시 관악구 봉천동 1674-16 
카페246(cafe246),2018-07-12,폐업,2020-10-06,커피숍,"서울특별시 관악구 대학7길 7, 1층 (신림동)",서울특별시 관악구 신림동 246-51 
하얀정원(Jardin Blanc),2018-12-12,폐업,2020-10-06,커피숍,"서울특별시 관악구 행운1길 40, 신화로즈빌 1층 104호 (봉천동)",서울특별시 관악구 봉천동 1671-35 신화로즈빌 
The wow cafe,2011-10-07,폐업,2020-10-16,커피숍,서울특별시 관악구 과천대로 939 (남현동),서울특별시 관악구 남현동 1061-18 
이안커피(Ian Coffee),2018-04-06,폐업,2020-10-19,커피숍,"서울특별시 관악구 신림로17길 63, 1층 (신림동)",서울특별시 관악구 신림동 259-2 
(주)세라젬 롯데백화점관악점,2019-10-07,폐업,2020-10-20,커피숍,"서울특별시 관악구 봉천로 209, 롯데백화점 3층 (봉천동)",서울특별시 관악구 봉천동 729-22 롯데백화점 
니피커피(NIPPY COFFEE),2019-07-16,폐업,2020-11-02,커피숍,"서울특별시 관악구 청룡4길 36, 1층 (봉천동)",서울특별시 관악구 봉천동 921-10 
들숨,2019-06-20,폐업,2020-11-03,커피숍,"서울특별시 관악구 조원로13길 73, 1층 (신림동)",서울특별시 관악구 신림동 534-30 
CafeAsher(카페아셀),2016-06-13,폐업,2020-11-05,커피숍,"서울특별시 관악구 은천로 149, 지하1층 (봉천동)",서울특별시 관악구 봉천동 1719-2 
"카페,1033",2019-11-14,폐업,2020-11-06,커피숍,"서울특별시 관악구 남부순환로190길 13, 1층 (신림동)",서울특별시 관악구 신림동 10-33 
커피문(coffee moon),2019-01-17,폐업,2020-11-19,커피숍,"서울특별시 관악구 신림로66길 24, 1층 102호 (신림동, 경원하이츠텔)",서울특별시 관악구 신림동 1421-39 경원하이츠텔 
얌얌브레드,2018-11-14,폐업,2020-11-20,커피숍,"서울특별시 관악구 과천대로 945, 1층 (남현동)",서울특별시 관악구 남현동 1061-22 
(주)커피빈코리아 신림점,2013-02-27,폐업,2020-11-25,커피숍,"서울특별시 관악구 신림로 318, 1층 (신림동)",서울특별시 관악구 신림동 86-3 
제이플랜,2017-04-28,폐업,2020-12-02,커피숍,"서울특별시 관악구 신림로21길 39, 1층 (신림동)",서울특별시 관악구 신림동 1546 
요거프레소 관악산점,2015-09-11,폐업,2020-12-07,커피숍,"서울특별시 관악구 신림로3가길 7, 2층 (신림동, 상가동)",서울특별시 관악구 신림동 1706 
카페젤라리소,2020-06-16,폐업,2020-12-10,커피숍,"서울특별시 관악구 조원로 117, 1층 (신림동)",서울특별시 관악구 신림동 503-37 
블라썸(Blossom),2019-02-28,폐업,2020-12-11,커피숍,"서울특별시 관악구 은천로8길 28, 1층 (봉천동)",서울특별시 관악구 봉천동 942-27 
방콕카페,2016-12-05,폐업,2020-12-15,커피숍,"서울특별시 관악구 신림로 107, 2층 (신림동)",서울특별시 관악구 신림동 1516-2 
디바인카페,2018-03-09,폐업,2020-12-16,커피숍,"서울특별시 관악구 봉천로12길 39, 가야위드안 2층 218호 (신림동, 가야위드안)",서울특별시 관악구 신림동 1426-7 가야위드안 
커피나무 난곡점,2017-08-08,폐업,2020-12-29,커피숍,"서울특별시 관악구 난곡로 192, 1, 2층 (신림동)",서울특별시 관악구 신림동 620-5 
엔제리너스 봉천점,2014-04-08,폐업,2020-12-30,커피숍,"서울특별시 관악구 양녕로 64, 1~2층 (봉천동)",서울특별시 관악구 봉천동 493-3 
커피박스,2016-12-15,폐업,2020-12-30,커피숍,"서울특별시 관악구 남부순환로163길 6, 1층 (신림동)",서울특별시 관악구 신림동 466-20 
Flat White(플랫화이트),2013-06-04,폐업,2021-01-18,커피숍,"서울특별시 관악구 인헌2길 8, 1층 (봉천동)",서울특별시 관악구 봉천동 1656-19 
에이미카페,2018-10-30,폐업,2021-01-18,커피숍,"서울특별시 관악구 난곡로 215, 1층 (신림동)",서울특별시 관악구 신림동 726-5 
에그 맛있다,2020-04-09,폐업,2021-01-18,커피숍,"서울특별시 관악구 신림로58길 64, 1층 103호 (신림동)",서울특별시 관악구 신림동 10-331 
Silas(실라),2015-12-10,폐업,2021-01-25,커피숍,"서울특별시 관악구 장군봉1길 3, 1층 101호 (봉천동)",서울특별시 관악구 봉천동 930-35 
카페1464,2017-03-24,폐업,2021-01-25,커피숍,"서울특별시 관악구 관천로11길 5, 1층 (신림동)",서울특별시 관악구 신림동 1464-2 
쥬씨 봉천역점,2016-07-01,폐업,2021-01-26,커피숍,"서울특별시 관악구 청룡2길 36-28, 1층 (봉천동)",서울특별시 관악구 봉천동 922-24 
굿모닝프룻(Goodmorning Fruit),2019-05-17,폐업,2021-01-29,커피숍,"서울특별시 관악구 관악로28길 38, 1층 (봉천동)",서울특별시 관악구 봉천동 24-3 
Cafe 쁘띠까도,2012-02-21,폐업,2021-02-02,커피숍,"서울특별시 관악구 양녕로 46, 지상1층 (봉천동, 메카플러스)",서울특별시 관악구 봉천동 463-4 메카플러스 지상1층 
이츠&한방차,2016-11-07,폐업,2021-02-08,커피숍,"서울특별시 관악구 봉천로6길 51, 101호 (신림동, 빅트리)",서울특별시 관악구 신림동 1439-23 
커피컴마제이,2011-02-23,폐업,2021-02-15,커피숍,"서울특별시 관악구 남현길 7 (남현동, 한얼메디프라자 105호)",서울특별시 관악구 남현동 1058-6 
호이스홈커피(관악점),2016-08-16,폐업,2021-02-22,커피숍,"서울특별시 관악구 은천로25길 3, 1층 (봉천동)",서울특별시 관악구 봉천동 466-76 
오마이프렌즈(OhMyFriends),2009-05-20,폐업,2021-02-26,커피숍,"서울특별시 관악구 신림로12길 28, 1층 (신림동)",서울특별시 관악구 신림동 103-113 
더랩 서울대점,2011-01-07,폐업,2021-03-10,커피숍,"서울특별시 관악구 관악로 1 (신림동,해동학술관(32-1))",서울특별시 관악구 신림동 산 56-1 해동학술관(32-1) 
날쌘카페 봉천점,2020-05-21,폐업,2021-03-15,커피숍,"서울특별시 관악구 관악로24길 14, 호삼빌딩 지하1층 1호 (봉천동)",서울특별시 관악구 봉천동 30-3 호삼빌딩 
체리제과,2020-08-21,폐업,2021-03-17,커피숍,"서울특별시 관악구 당곡길 6, 1층 4호 (봉천동)",서울특별시 관악구 봉천동 970-21 
OK120,2019-02-07,폐업,2021-03-24,커피숍,"서울특별시 관악구 관악로 202, 2층 (봉천동)",서울특별시 관악구 봉천동 851-4 
커피집,2019-06-25,폐업,2021-03-24,커피숍,"서울특별시 관악구 남부순환로246길 18, 지하1층 (봉천동)",서울특별시 관악구 봉천동 1632-11 
카페테리아,2020-05-06,폐업,2021-03-31,커피숍,"서울특별시 관악구 관악로 242, 강남고려병원 1층 (봉천동)",서울특별시 관악구 봉천동 36-83 강남고려병원 
베네 서울대역점,2010-11-17,폐업,2021-04-05,커피숍,서울특별시 관악구 남부순환로 1840 (봉천동),서울특별시 관악구 봉천동 1601-1 
롤롱,2020-03-06,폐업,2021-04-07,커피숍,"서울특별시 관악구 남부순환로233길 7, 1층 (봉천동)",서울특별시 관악구 봉천동 1673-26 
HOLA COFFEE(올라커피),2020-03-27,폐업,2021-04-16,커피숍,"서울특별시 관악구 신림로67길 18, 1층 102호 (신림동)",서울특별시 관악구 신림동 1432-52 
김우희카페,2018-09-03,폐업,2021-04-21,커피숍,"서울특별시 관악구 봉천로17길 5, 1층 (봉천동)",서울특별시 관악구 봉천동 969-7 
카페플러피,2019-06-20,폐업,2021-04-23,커피숍,"서울특별시 관악구 남부순환로230길 42, 1층 (봉천동)",서울특별시 관악구 봉천동 1610-32 
커피7098,2018-12-06,폐업,2021-04-28,커피숍,"서울특별시 관악구 남부순환로159길 55, 1층 (신림동)",서울특별시 관악구 신림동 491-18 
