범죄분류,발생건수(건),검거건수(건),남자검거인원(명),여자검거인원(명),미상검거인원(명),법인(개)
부정수표단속법,1946,1339,972,186,20,41
사행행위 등 규제 및 처벌특례법,442,430,537,53,0,0
산림자원의 조성 및 관리에 관한법률,856,818,849,96,7,44
산업안전보건법,6439,6479,6965,146,174,6345
산지관리법,2649,2630,2559,326,30,126
상표법,3587,3410,2461,1809,206,152
석유 및 석유대체연료 사업법,1019,1006,1090,152,10,63
선박안전법,2290,2289,338,13,3,74
선박직원법,600,595,193,5,2,10
성매매알선 등 행위의 처벌에 관한법률,10415,10261,12902,8339,65,6
수도법,208,210,191,31,2,19
수산업법,4822,4797,1488,47,7,8
수산자원관리법,1584,1582,1627,193,0,7
식품위생법,8933,8873,5087,6437,110,467
신용정보의 이용 및 보호에 관한법률,64,58,96,22,4,4
"아동,청소년의 성보호에 관한법률(성매수등)",745,702,910,170,1,0
"아동,청소년의 성보호에 관한법률(음란물등)",491,427,521,12,0,0
아동복지법,3649,3593,2237,2288,5,4
액화석유가스의 안전관리 및 사업법,97,96,209,15,2,16
약사법,1151,1112,1235,619,11,78
여객자동차 운수사업법,1827,1719,2591,201,31,91
여신전문금융업법,2259,1370,1446,519,45,63
영유아보육법,202,196,34,362,2,3
예비군법,8085,7672,7583,11,0,0
옥외광고물등의 관리와 옥외광고산업진흥에 관한법률,687,614,521,78,41,121
외국환거래법,765,773,590,240,14,65
위험물안전관리법,1125,1126,603,74,3,289
유사수신행위의 규제에 관한법률,853,707,1588,704,48,69
의료기기법,421,416,367,138,98,134
의료법,2864,2730,2931,2536,130,134
자동차관리법,25013,22704,23701,2659,214,577
자동차 손해배상 보장법,43035,37563,35739,5087,82,52
자본시장과 금융투자업에 관한법률,329,304,519,74,35,78
저작권법,13998,7250,6978,2171,3414,1231
전자금융거래법,6048,5962,14053,6095,28,2
전파법,570,569,587,47,1,168
정보통신망이용촉진 및 정보보호 등에 관한법률,13389,9270,7601,3784,879,88
조세범처벌법,3358,2866,3976,601,186,1346
주민등록법,1812,1448,1132,903,43,5
주차장법,332,328,282,161,2,21
주택법,530,490,1346,855,14,44
직업안정법,473,468,641,142,10,12
집회및시위에 관한법률,260,254,399,66,13,0
청소년보호법,9082,8964,5453,6134,11,21
총포·도검·화약류등의 안전관리에 관한법률,48,45,52,3,0,4
최저임금법,665,645,287,100,3,3
축산물위생관리법,1730,1726,1205,326,15,218
출입국관리법,2407,2241,2364,782,24,373
통신비밀보호법,178,163,161,65,16,1
특가법(도주차량),4811,4539,4779,820,29,3
특허법,207,171,265,46,42,76
폐기물관리법,1638,1539,1814,151,53,538
풍속영업의 규제에 관한법률,205,204,224,77,0,0
하천법,213,210,230,52,3,10
학교보건법,82,80,52,30,0,0
학원의 설립운영 및 과외교습에 관한법률,511,510,187,373,0,0
화물자동차 운수사업법,2110,2086,2653,107,12,81
화재로 인한 재해보상과 보험가입에 관한법률,15,0,0,0,0,0
화재예방·소방시설설치유지 및 안전관리에 관한법률,25,27,26,13,0,8
화학물질관리법,679,683,696,144,4,265
기타특별법,50270,48572,36967,16317,1885,2856
